#id source=all_source.txt	reference=all_reference.txt	test1=MOSES	test2=TECTOMT
no_id	Prague Stock Market falls to minus by the end of the trading day	Pražská burza se ke konci obchodování propadla do minusu	Prague Stock market klesá až na minus na konci obchodního dne	Praha akciový trh klesá na minus konec obchodního dne.
no_id	Most people have their cell phone on them at all times.	Mobil většina lidí nosí stále u sebe.	Většina lidí má svůj mobil na ně po celou dobu.	Většiny lidé mají svůj mobilní telefon na nich ve všech časech.
no_id	Whenever you feel like listening to something, you can reach for your cell phone in your pocket, while the MP3 player lies at home, forgotten.	Kdykoliv dostanete chuť si něco poslechnout, mobil v kapse nahmatáte, zatímco MP3 přehrávač leží zapomenutý doma.	Jak se ti zlíbí, naslouchající, můžete zavolat na mobil v kapse, zatímco MP3 přehrávač leží doma, zapomněl.	Zatímco, Whenever se cítí, jako posloucháte něco, můžete dosáhnout na svůj mobilní telefon ve své kapse, MP3 hráč leží doma, je zapomenuto.
no_id	However, it still depends on whether you always have headphones or at least the wire hands-free with you.	Ještě však záleží na tom, zda s sebou také vždy nosíte sluchátka nebo alespoň drátové handsfree.	To ovšem závisí na tom, zda se vždycky sluchátka, nebo alespoň ten drát hands-free s tebou.	Přesto stále závisí, zda vždycky máte sluchátka nebo at on whether nejmenším on drátu bezobslužným s tebou.
no_id	If not, you can utilize the integrated speaker that is in almost all cell phones, but only in a minimum of MP3 players.	Pokud ne, můžete využít integrovaný reproduktor, který má téměř každý mobil, ale pouze minimum MP3 přehrávačů.	Pokud ne, můžete využívat integrovaný reproduktor, který je téměř ve všech telefonech, ale pouze v minimální výši MP3 přehrávače.	Ne, můžete využívat integrovaný reproduktor, ten je v téměř všech mobilních telefonech, ale jen v minimu MP3 hráčů.
no_id	But the greatest advantage of the music cell phones for many people is the price.	Asi největší výhodou hudebních mobilů bude pro mnohé cena.	Ale největší výhodou hudební mobily pro mnoho lidí je cena.	Ale největší výhoda hudebních mobilních telefonů mnoha lidí je cena.
no_id	The least expensive of them regularly cost less than three thousand crowns.	Ty nejlevnější stojí běžně pod tři tisíce.	Nejlevnější z nich pravidelně stálo méně než tři tisíce korun.	Přinejmenším drahé jich pravidelně stala less than tři tisíc korun.
no_id	For three or four thousand crowns, you can get a very decent walkman.	Za tři a čtyři tisíce korun již pořídíte velmi slušný walkman.	Za tři nebo čtyři tisíce korun, můžete mít velmi slušné walkman.	Pro tři nebo čtyři tisíc koruny můžete mít velmi slušný walkman.
no_id	Usually, however, you'll be limited by the absence of output on ordinary headphones.	Většinou vás však bude omezovat absence výstupu na běžná sluchátka.	Obvykle však bude omezena absence výstupu na obyčejných sluchátek.	Obvykle naopak budete omezen nepřítomností výstupu na běžná sluchátka.
no_id	The best and most technically well-equipped telephones, with a 3.5 mm jack for ordinary headphones, cost up to fifteen thousand crowns.	Ty nejlepší a po technické stránce nejvybavenější telefony i s 3,5 mm zdířkou pro běžná sluchátka stojí do patnácti tisíc.	Nejlepší a technicky dobře vybavené telefony, 5 mm jack pro běžná sluchátka, stát až patnáct tisíc korun.	Nejlepší a technicky well-equipped telefony s 3,5 mm jackem pro běžná sluchátka nákladem až patnáct tisíc korun.
no_id	The advantage of the music players, on the other hand, is, among other reasons, that they are easy to operate.	Výhodou přehrávačů zase je mimo jiné snadná obsluha.	Výhodou této hudby hráči, na druhé straně, je mimo jiné důvody, které jsou snadno ovladatelný.	Výhoda hudeb hráčů na druhé straně je mezi jinými důvody, že jsou snadní fungovat.
no_id	Anyone can handle the operation of the simplest - not necessarily the most inexpensive (see our selection) - music players.	Ty nejjednodušší - nikoliv nutně nejlevnější (viz náš výběr) - přehrávače zvládne ovládat opravdu každý.	Každý může zvládnout provoz nejjednodušší - nutně velmi levné (viz náš výběr) - hudba hráčů.	Někdo může zvládnout operaci nejjednodušší - ne nutně nejnedražší (vidí náš výběr) - hudby Player.
no_id	The minimum of functions and similarity in operation to the formerly common cassette recorder or even the record player is apparent.	Minimum funkcí, podobnost ovládání s dříve běžným kazeťákem nebo třeba gramofonem je zřejmá.	Nejmenší z funkce a podoba v transakci dříve společné diktafon nebo dokonce gramofon je zřejmá.	Minimum funkcí a podobnosti v operaci s brzy společným kazetovým magnetofonem nebo dokonce záznamem přehrávačem je zřejmé.
no_id	There is no threat of a clash in the form of mobile Internet turned on by accident and the resulting enormous bill for data transmission.	Nehrozí kolize v podobě omylem zapnutého mobilního internetu a následně obřího účtu za přenos dat.	Nehrozí žádný střet v podobě mobilní internet se náhodou a z toho vyplývající obrovský účet pro přenos dat.	Není žádná hrozba střetu ve formě mobilního internetu, která je zapnut nehodou a vyplývajícím obrovským Billem pro přenos údajů.
no_id	What device to reach for	Po jakém přístroji sáhnout	Co se na zařízení	Protože co zařízení dosahuje.
no_id	Even the least expensive cell phones (e.g. Vodafone 527) generally have a slot for replaceable memory cards (of the type M2, microSD and the like).	I nejlevnější mobily (např. Vodafone 527) mají zpravidla slot na výměnné paměťové karty (typ M2, microSD apod.).	I nejlevnější mobily (např. Vodafone 527), mají obvykle otvorem pro vyměnitelných paměťových karet (typu m2, microSD a podobně).	I nejmenší drahé mobilní telefony (například Vodafone 527) obvykle mají otvor pro výměnné paměťové karty (M2 typu, microSD a rád).
no_id	Even with the additional purchase of the respective card, you will spend less than two thousand crowns.	I s dokoupením příslušné karty se vejdete do dvou tisíc korun.	I s další nákup příslušnou kartu, utratí méně než dva tisíce korun.	I s dalším nákupem příslušné karty strávíte less than dva tisíc korun.
no_id	Be careful, however.	Dejte si však pozor.	Opatrně, ale...	Buďte opatrní přesto.
no_id	With the basic models, only cards with a maximum capacity of 2 GB tend to be supported.	U základních modelů bývají podporovány pouze karty s maximální kapacitou 2 GB.	Základní modely, pouze karty s maximální kapacitou 2 gb, mají tendenci být podporovány.	Se základními modely pouze karty s maximální kapacitou 2 GB bývat, je podporován.
no_id	Only the most expensive ones can also handle 8 GB memory cards.	Pouze ty nejdražší si poradí i s 8 GB paměťovkami.	Jen ta nejdražší lze rovněž ovládat 8 gb paměťové karty.	Pouze nejdražší také mohou zvládnout 8 GB paměťových karet.
no_id	If you already have a cell phone and want to buy an inexpensive MP3 player, reach for Cowon, Creativ, Sony, Samsung, Emgeton or iriver.	Pokud už mobil máte a chcete si ještě koupit levný MP3 přehrávač, sáhněte po Cowonu, Creativu, Sony, Samsungu, Emgetonu nebo iriveru.	Pokud již máte mobil a chce koupit levný MP3 přehrávač, Cowon, Creativ, Sony, Samsung, Emgeton nebo iriver.	Jestli již máte mobilní telefon a jestli chcete, aby koupil nelevný MP3 přehrávač dosah k Cowon, Creativ, Sonu, Samsungu, Emgeton nebo iriver.
no_id	Based on capacity (maximum 2 GB) you don't have to spend more than 1,100 crowns.	Podle kapacity (max. 2 GB) nemusíte utratit více než 1 100 korun.	Na základě kapacity (maximálně 2 gb) nemusíte utrácet více než 1100 korun.	Je založena na schopnosti (maximální 2 GB), nemusíte utratit více než 1 100 korun.
no_id	If you are a more demanding listener, reach instead for specialized cell phones - walkman (Sony Ericsson, some Nokia and Samsung models).	Patříte-li k náročnějším posluchačům sáhněte raději po specializovaných mobilech - walkmanech (Sony Ericsson, některé Nokie a Samsungy).	Jste-li náročnější posluchač, najít místo pro specializované mobily - walkman (Sony Ericsson, Samsung a Nokia modely).	Pokud jste ještě náročný posluchač, dosahuje spíše ke specializovaným mobilním telefonům - walkmanům (Sonům Ericssonům některé a Nokia Samsungu modely).
no_id	These devices have separate control buttons for MP3 and the user-friendly nature of their operation is close to that of a separate MP3 player.	Tyto přístroje mají samostatná ovládací tlačítka pro MP3 a komfort obsluhy se tak blíží samostatnému MP3 přehrávači.	Tato zařízení se samostatnými tlačítky pro MP3 a uživatelsky přívětivou povahu jejich provozu, který má blízko k samostatné MP3 přehrávač.	Tato zařízení mají samostatná tlačítka kontroly pro MP3 a protože názorná povaha jejich operace je blízko k tomu ze samostatného MP3 hráče.
no_id	Sony Ericsson, whose cell phones from the walkman series have the same user interface as the MP3 players sold separately, is the most advanced in the field.	Nejdále je v oboru Sony Ericsson, jehož mobily z řady walkman mají totožné uživatelské rozhraní jako samostatně prodávané MP3 přehrávače.	Sony Ericsson, jehož mobilní telefony ze série walkman, mají stejné uživatelské rozhraní jako MP3 přehrávače prodává samostatně, je nejlepší v oboru.	Son Ericsson, jehož mobilní telefony z řady walkmana mají stejné uživatelské rozhraní jako MP3 hráči prodaní samostatně, je nejpokročilejší v oblasti.
no_id	The MP3 players from the brands mentioned above deliver the same service and in the same price category up to four thousand crowns, but with a greater memory capacity (up to 16 GB) and battery endurance (normally 15 hours, maximally up to 35 hours).	Stejnou službu a ve stejné cenové kategorii do čtyř tisíc korun, ale s větší kapacitou paměti (až 16 GB) a výdrží akumulátoru (běžně 15 hodin, maximálně až 35 hodin), vám odvedou MP3 přehrávače od výše zmíněných značek.	MP3 přehrávače se od výše zmíněných značek poskytovat stejné služby a ve stejné cenové kategorii až čtyři tisíce korun, ale s větší kapacitu paměti (až 16 gb) a výdrž baterie (obvykle 15 hodin, maximálně až 35 hodin).	MP3 hráči ze značek uvedli dodat stejnou službu a ve stejné ceně kategorii až čtyři tisíc korun, ale s větší a kapacity (až 16 GB) baterie odolností paměti (obvykle 15 hodin až maximálně 35 hodin).
no_id	First virtual operator to arrive in Czechia this year.	První virtuální operátor dorazí do Česka již v letošním roce.	První virtuální operátor dorazí do Česka v letošním roce.	První virtuální operátor, přijde do Česka ročně.
no_id	Maybe	Možná	Možná...	Možná.
no_id	The mobile market in Czechia is quite advanced and local operators offer practically all the same services as their partners in Western Europe.	Mobilní trh v Česku je poměrně vyspělý a naši operátoři nabízejí prakticky všechny služby jako jejich partneři v západní Evropě.	Mobilní trh v Čechách je velmi moderní a místní operátoři nabízejí prakticky všechny stejné služby jako jejich partneři v západní Evropě.	Mobilní trh s Českem je, zcela, rozvinutí a místní operátoři nabízejí prakticky všechny stejné služby jako jejich partneři v Západní Evropě.
no_id	In spite of this, there is something missing here - a virtual operator who would force the classic operators to lower their prices.	Přesto nám tady něco chybí - virtuální operátor, který by ty klasické donutil zlevnit.	Navzdory tomu, že tu něco chybí - virtuální operátor, který by platnost klasickými operátory ke snížení cen.	Je to něco, chybí tady - virtuální operátore, který by nutil klasičtí provozovatelé snížit jejich ceny.
no_id	It might be missing for a long time.	Možná nebude chybět dlouho.	To může být chybějící na dlouhou dobu.	Mohlo by chybět dlouhou dobu.
no_id	We have already written many times on Mobil.cz about the fact that Czech operators are among the most expensive in Europe.	O tom, že čeští operátoři patří k vůbec nejdražším v Evropě, jsme na Mobil.cz psali už mnohokrát.	Máme už napsán mnohokrát na mobil. cz o tom, že české subjekty jsou mezi nejdražší v Evropě.	Už jsme napsali mnoho časů na Mobil.cz o skutečnosti, že české subjekty jsou nejdražší v Evropě.
no_id	This has also been confirmed by the Czech Telecommunications Bureau, who called attention to the fact that the price of a text message is higher here than in the rest of the Union.	Ostatně potvrdil to i ČTÚ, který upozornil, že cena SMS je u nás vyšší než ve zbytku Unie.	To byl také potvrzen českou telekomunikační úřad, který nazval upozornit na skutečnost, že cena SMS je vyšší než ve zbytku unie.	Rovněž bylo potvrzeno Českým telekomunikačním úřadem, který volal pozornost skutečnost, že cena textu zprávy je vyšší tady potom ve zbytku unie.
no_id	Following the most recent steps taken by the European Commission in the field of regulation of the roaming fees, a paradoxical situation may occur - text messages for some customers of Czech mobile operators will be cheaper from abroad than at home.	Po posledních krocích Evropské komise na poli regulace roamingových poplatků tak možná dojde k paradoxní situaci - pro některé zákazníky českých mobilních operátorů budou SMS ze zahraničí levnější než doma.	Po nedávné kroky evropské komise v oblasti regulace poplatků za roaming, paradoxní situace může nastat - textové zprávy pro některé zákazníky z českých mobilních operátorů bude levnější ze zahraničí než doma.	Sleduje poslední kroky přijaté Evropskou komisí v oblasti regulace roamingových poplatků, paradoxní situace může nastat - textové zprávy pro některé zákazníky českých mobilních operátorů budou levnější zahraničních doma.
no_id	How is it possible that the prices in Czechia remain so high in comparison with Europe?	Jak je možné, že ceny v Česku se drží ve srovnání s Evropou tak vysoko?	Jak je možné, že se ceny v Česku i nadále tak vysoká ve srovnání s Evropou?	Jak to je možné, že ceny v Česku jsou tak vysoké ve srovnání s Evropou?
no_id	The answer is simple, there is a lack of competitors who would really like to enter into battle.	Odpověď je jednoduchá, chybí konkurence, která by se opravdu chtěla pustit do boje.	Odpověď je jednoduchá, chybí konkurence, kdo by chtěl vstoupit do boje.	Odpověď je jednoduchá, je nedostatek konkurencí, které by opravdu měly vstoupit v bitvu.
no_id	Perhaps it sounds paradoxical, after all, we have three mobile networks here and over 100% coverage.	Možná to zní paradoxně, máme tu přece tři mobilní sítě a penetraci vysoko přes 100 %.	Možná to zní paradoxně, koneckonců, máme tři mobilní sítě a přes 100%.	Možná zní paradoxně po všem, máme tři mobilní sítě tady a nad pokrytím 100 %.
no_id	Mobile operators, on the other hand, like to pretend that the Czech market is extremely competitive.	Mobilní operátoři naopak rádi žehrají na to, že český trh je extrémně konkurenční.	Mobilní operátoři, na druhé straně, jak předstírat, že český trh je vysoce konkurenční.	Mobilní operátoři na druhé straně mít předstírat, že český trh je velmi konkurenceschopný.
no_id	This is often seconded by the chairman of the Council of the Czech Telecommunications Bureau (CTB) Pavel Dvořák, who in the past has claimed several times that there is no room for another operator in Czechia.	V tom jim často přizvukuje i předseda Rady Českého telekomunikačního úřadu (ČTÚ) Pavel Dvořák, který se v minulosti několikrát vyjádřil, že pro dalšího operátora v Česku místo není.	To je často vyslaný předsedovi rady Českého telekomunikačního úřadu (CTB) Pavel Dvořák, který v minulosti již několikrát tvrdil, že neexistuje žádný prostor pro další operátor v Česku.	Často druhé předsedou Rady Českého telekomunikačního úřadu (CTB) Pavla Dvořáka, který v minulosti tvrdil několik časů, že není žádné místo pro dalšího provozovatele v Česku.
no_id	It is probably true that a classical operator with its own network no longer has much chance (for that matter, it would be very difficult to find frequencies).	Je asi pravda, že klasický operátor s vlastní sítí už příliš šancí zřejmě nemá (ostatně, už by asi jen těžko hledal frekvence).	To je asi pravda, že klasický subjekt s vlastní síť, už nemá moc šancí (mimochodem, to by bylo velmi obtížné najít kanál).	Je to pravděpodobně pravda, že klasický operátor s jeho vlastní sítí už již má velkou šanci, že by to (pro tu věc bylo velmi obtížné najít frekvence).
no_id	But there is one more opportunity - a virtual operator.	Existuje ale ještě jedna možnost - virtuální operátor.	Ale je tu ještě jedna možnost - virtuální operátor.	Ale je jedna další příležitost - virtuální operátor.
no_id	It is precisely the entrance of the virtual operators on the mobile market that brought the significant lowering of prices, to which even the classic operators had to react.	Právě vstup virtuálních operátorů na mobilní trh přinesl výrazné snížení cen, na které pak museli reagovat i klasičtí operátoři.	Právě příchod virtuálních operátorů na trhu mobilních telefonů, které přinesly výrazné snižování cen, k němuž i klasické operátoři museli reagovat.	Je to přesně vstup virtuálních subjektů na mobilním trhu, který přinesl významné snížení cen, na který i klasické subjekty musely reagovat.
no_id	At the same time, even before the entrance on the market of aggressive competitors such as Tesco Mobile or Virgin Mobile, voices similar to those here could be heard.	Přitom ještě před vstupem štik jako Tesco Mobile či Virgin Mobile na trh zaznívaly ve Velké Británii podobné hlasy jako u nás.	Ve stejné době, ještě před vstupem na trh agresivní konkurenti, jako například Tesco mobile nebo Virgin mobile, hlasy podobné těm, které zde bylo slyšet.	Na stejnou dobu dokonce vstup na trh agresivních konkurentů Tesco mobilu nebo virgina mobilu vysloví podobný těm tady, že by mohli být slyšeni.
no_id	But it has turned out that there is a place for such operators and they can be truly successful.	Ukázalo se ale, že místo pro takové operátory je a mohou být opravdu úspěšní.	Ale ukázalo se, že existuje místo pro tyto subjekty a mohou být opravdu úspěšná.	Ale ukázalo se, je místo pro takové subjekty a že mohou být opravdu úspěšní.
no_id	For that matter, we don't have to go far to find examples.	Ostatně nemusíme pro příklady chodit příliš daleko.	Ostatně, nemusíme chodit daleko.	Na tu věc nemusíme jít daleko najít příklady.
no_id	In February of this year, we informed you of the start of the virtual operator Mobilking in Poland.	V únoru letošního roku jsme vás informovali o startu virtuálního operátora Mobilking v Polsku.	V únoru letošního roku, jsme informováni, že ze začátku virtuálního operátora Mobilking v Polsku.	V únoru tohoto roku jsme tebe informovali o startu virtuálního operátora Mobilking v Polsku.
no_id	Over the course of merely half a year, this operator was able to gain more than 100 thousand customers and become the fifth largest operator.	Za pouhého půl roku se tomuto operátorovi povedlo získat více než 100 tisíc zákazníků a stát se tamním pátým největším operátorem.	V průběhu jen půl roku, tento subjekt se podařilo získat více než 100 tisíc klientů a stal se pátým největším operátorem.	Průběh pouze půl roku se schopen tohoto operátora získat více než 100 tisíc zákazníků a stát pátým největším operátorem.
no_id	At the same time, the financial group Penta, which owns, among others, U:fon, stands behind Mobilking.	Přitom za Mobilkingem stojí finanční skupina Penta, která v Česku vlastní mimo jiné U:fona.	Ve stejné době, finanční skupina Penta, které patří mj. U.: tu stojí za Mobilking.	Na stejné době finanční skupina Penta, která má mezi ostatními, U: fon stojí za Mobilking.
no_id	The advantage of the virtual operators is the opportunity to concentrate on a much more specific target group.	Výhodou virtuálních operátorů je možnost soustředit se na mnohem konkrétnější cílovou skupinu.	Výhodou této virtuální operátory je možnost soustředit se na mnohem více konkrétní cílové skupiny.	Výhoda virtuálních subjektů se je příležitost soustředit na mnohem specifičtější cílovou skupinu.
no_id	In order to function effectively, they require many fewer customers than a classic operator does.	K tomu, aby mohli efektivně fungovat, jim totiž stačí mnohem méně zákazníků než klasickému operátorovi.	S cílem účinně fungovat, potřebují mnohem méně zákazníků než klasickou obsluhou.	Než, Inami funguje účinně, vyžadují mnoho několik zákazníků, klasický provozovatel dělá.
no_id	That is, they do not carry the relatively high costs of construction, operation and maintenance of a mobile network.	Nenesou s sebou totiž relativně vysoké náklady na stavbu, provoz a údržbu mobilní sítě.	To znamená, že nemají na relativně vysoké náklady na výstavbu, provoz a údržbu mobilní sítě.	Je to, nenesou poměrně vysoké náklady na výstavbu, provoz a údržbu mobilní sítě.
no_id	In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.	Ve světě se tak virtuální operátoři obvykle profilují jako nízkonákladoví - nabízejí levné volání a SMS, což je ale často vyváženo užší nabídkou služeb.	Tímto způsobem virtuální operátoři po celém světě obvykle profil jako levné - nabízejí levné volání a textové zprávy, které je často vyvážen poněkud omezená nabídka služeb.	V tomto způsobu virtuální operátoři kolem světa obvykle profil sebe levná - nabízejí nelevné volání a textové zprávy, které často jsou dostávány omezenější nabídkou služeb přesto.
no_id	That's how, for example, Tesco Mobile in Great Britain can offer text messaging for at least fifty percent less than its competitors.	Tak třeba Tesco Mobile ve Velké Británii nabízí SMS minimálně o polovinu levněji než jeho konkurenti.	Tak například Tesco mobile ve velké Británii mohou nabídnout textových zpráv nejméně o padesát procent méně než její konkurenti.	Je to, jak ku příkladu Tesco mobil Skvěle Británie může nabízet text se zprávou neboť less than jeho konkurenti alespoň padesáti procent.
no_id	But as the example of Mobilking in Poland shows, it can be a rather good move and a bet on a novel target group.	Jak ale ukazuje příklad Mobilkingu v Polsku, může být docela dobrým tahem i sázka na neotřelou cílovou skupinu.	Ale jako příklad Mobilking v Polsku ukazují, že to může být docela dobrý tah a vsadil na novou cílovou skupinu.	Ale příklad Mobilking v Polsko show to může být docela dobrý tah a sázka na novou cílovou skupinu.
no_id	That is, this operator is specifically oriented toward men.	Tento operátor se totiž zaměřuje specificky na muže.	To je, to je specificky orientované na muže.	Tento provozovatel konkrétně je orientováno k mužům.
no_id	"Real men choose Mobilking - the operator that they like and can trust," says David Seibert, the CEO of Mobile Entertainment Company, which runs this virtual operator.	"Správní chlapi volí Mobilking - operátora, který se jim líbí a kterému mohou důvěřovat," říká David Seibertz CEO Mobile Entertainment Company, provozujících tohoto virtuálního operátora.	"Skuteční lidé vybrat operátora Mobilking - a můžeš věřit, že se jim líbí," říká David Seibert, generální ředitel mobile Entertainment Company, která vede tento virtuální operátor.	"Skuteční muži chtějí Mobilking - subjekt mít a mohou důvěřovat," říká David Seibert CEO Mobilní zábavní společnosti, která vede tohoto virtuálního operátora.
no_id	It is hard to say if a concept similar to the one in Poland could catch on here.	Těžko říci, jestli by se podobný koncept jako v Polsku mohl chytit i u nás.	To je těžké říct, jestli je pojem podobné tomu v Polsku mohl chytit.	Je to těžké říci, kdyby koncepce podobná tomu v Polsku mohla chytit tady.
no_id	Miroslav Čepický, spokesman for Vodafone, doubts this: "The Czech market is relatively small for the segmented approach on which most virtual operators are founded.	Pochybuje o tom tiskový mluvčí Vodafonu Miroslav Čepický: "Český trh je relativně malý pro segmentový přístup, na němž je většina virtuálních operátorů založena.	Miroslav Čepický, mluvčí Vodafone, pochybnosti: "tuzemský trh je relativně malý pro rozdělený přístup, z nichž většina virtuální operátoři jsou založena.	Miroslav Čepická mluvčí pro Vodafone pochybuje o tom: "že český trh je poměrně malý pro segmentovaný přístup, na kterém nejvirtuálnější subjekty jsou založeny.
no_id	In addition, it's relatively saturated from the perspective of the offer of services."	Navíc je z hlediska nabídky služeb relativně saturovaný."	Navíc je to relativně nasycené z hlediska nabídky. "	Navíc poměrně bylo nasyceno z pohledu nabídky služeb."
no_id	No chance in Czechia, say mobile operators	V Česku bez šance, říkají mobilní operátoři	Ne náhodou v Čechách, tvrdí, že mobilní operátoři	Žádná šance v Česku neříká mobilní operátoři.
no_id	It seems almost certain that if there is to be a virtual operator in Czechia, it won't be Mobilking.	Zdá se ale téměř jisté, že pokud v Česku nějaký virtuální mobilní operátor bude, nebude to Mobilking.	Zdá se téměř jisté, že mají-li být virtuální operátor v Česku, nebude mobilking.	Zdá se téměř jisté, kdyby, je virtuální operátor v Česku, Mobilking.
no_id	"We have been talking about the expansion of this successful project, but the negotiations in Czechia don't look very hopeful.	"O expanzi tohoto úspěšného projektu mluvíme, v Česku ale jednání nevypadají příliš nadějně.	"Už jsme mluvili o rozšíření tohoto úspěšného projektu, ale jednání v Česku nevypadá příliš nadějně.	"Mluvili jsme o rozšíření tohoto úspěšného projektu, ale jednání v Česku nevypadají velmi nadějně.
no_id	More likely, Mobilking will be launched in other countries in our region," said Jana Studničková, speaker for the Penta financial group, in a telephone interview for Mobil.cz.	Spíše dojde ke spuštění Mobilkingu v jiných zemích našeho regionu," řekla v telefonickém rozhovoru pro Mobil.cz Jana Studničková, tisková mluvčí finanční skupiny Penta.	Pravděpodobnější, Mobilking budou zahájeny v jiných zemích, v našem regionu, "řekla Jana Studničková, mluvčí pro finanční skupina Penta, v telefonickém rozhovoru pro mobil. cz.	Spíše Mobilking bude zahájena v jiných zemích našeho regionu," řekla Jana Studničková mluvčí finanční skupiny Penta v telefonickém rozhovoru pro Mobil.cz.
no_id	She also confirmed indirectly that the current mobile operators in Czechia are definitely not inclined toward this idea.	Nepřímo tak potvrdila, že stávající mobilní operátoři v Česku této myšlence rozhodně nakloněni nejsou.	Ona také nepřímo potvrdil, že stávající mobilní operátoři v Česku skutečně není nakloněn k této myšlence.	Také potvrdila nepřímo, že současní mobilní operátoři v Česku určitě nejsou přikláněni k této myšlence.
no_id	Rather, on the contrary, they are trying to do everything they can so that no potential competitor comes into existence.	Spíše naopak, snaží se udělat vše proto, aby žádný potenciální konkurent nevznikl.	Spíše naopak, snaží se dělat všechno, co mohli, aby žádný potenciální konkurent přichází do života.	Spíše se v rozporu snaží dělat všechno může tak, aby žádný potenciální konkurent nešel do existence.
no_id	For a longer period of time now, the GTS Novera group has made no secret of its interest in launching a virtual mobile operator, and in this way it would like to take another step in the direction of becoming a real competitor of Telefonica O2 in the area of corporate clientele.	Zájmem o spuštění virtuálního mobilního operátora se již delší dobu netají skupina GTS Novera, která by tak chtěla udělat další krok k tomu, aby se stala reálným konkurentem Telefóniky O2 na poli firemních zákazníků.	Na delší dobu, teď má skupina GTS Novera nijak neskrýval svůj zájem na rozpoutání virtuálního mobilního operátora, a v důsledku toho by se rád udělal další krok ve směru stává skutečným konkurentem společnosti Telefonica O2 v oblasti firemní klientelu.	Pro delší dobu doby teď by skupina Novera GTS nebyla žádné tajemství jeho zájmu při spuštění virtuálního mobilního operátora a v tomto způsobu mít přijmout další krok v směru, že se stojí skutečným konkurentem Telefonica O2 v oblasti firemních klientel.
no_id	"We are very interested in being able to offer our customers not only hardwire telecommunication services, but also mobile ones.	"Máme velký zájem na tom, abychom našim zákazníkům mohli nabízet nejen pevné, ale i mobilní telekomunikační služby.	"Máme velký zájem, aby byli schopni nabídnout svým zákazníkům nejen hardwire telekomunikačních služeb, ale také mobilní jedničky.	"Jsme velmi zúčastnění, můžeme nabídnout našim zákazníkům pouze hardwire telekomunikačních služeb, ale také mobilní ty.
no_id	The sooner, the better.	A to čím dříve, tím lépe.	Čím dříve, tím lépe.	Dříve lepší.
no_id	We have held repeated negotiations on this possibility with all Czech mobile operators.	O této možnosti jsme opakovaně jednali se všemi českými mobilními operátory.	Musíme konat opakované jednání o této možnosti do všech českých mobilních operátorů.	Drželi jsme opakovaná jednání o této možnosti se všemi českými mobilními operátory.
no_id	We have already been able to make progress in the negotiations with some of them," said the group's spokesman, Pavel Kaidl.	S některými z nich se nám již podařilo v jednáních pokročit," říká tiskový mluvčí skupiny Pavel Kaidl.	Už jsme nebyli schopni učinit pokrok v jednání s některým z nich, "řekl mluvčí skupiny, Pavel Kaidl.	Už můžeme být pokrok v jednáních některých z nich," řekla mluvčí skupiny Pavel Kaidl.
no_id	Perhaps there are better times ahead.	Možná se tedy blýská na lepší časy.	Možná je lepší časy.	Možná jsou lepší časy vpřed.
no_id	On the basis of unofficial information, it looks like we can expect the first virtual operator as early as the end of this year.	Z neoficiálních informací se zdá, že prvního virtuálního operátora bychom se měli dočkat možná už do konce roku.	Na základě neoficiálních informací, vypadá to, že můžeme očekávat první virtuální operátor již koncem tohoto roku.	Na základě neoficiální informace vypadá, jako můžeme očekávat první virtuální operátor stejně brzy jako konec tohoto roku.
no_id	In the meantime, however, its creation is accompanied by a wall of silence.	Prozatím ale jeho vznik provází neproniknutelná hradba mlčení.	Mezitím však jeho tvorba je doprovázena hradbu mlčení.	Mezitím naopak jeho vytvoření je muset zdí ticha.
no_id	"At this time, we do not think that there is space for the creation of a full-fledged virtual operator.	"V tuto chvíli se nedomníváme, že je na českém trhu prostor pro vznik plnohodnotného virtuálního operátora.	"V této chvíli si nemyslíme, že existuje prostor pro vytvoření nefalšovaného virtuálního operátora.	"Na tuto dobu nemyslíme, že je místo pro vytvoření opeřeného virtuálního operátora.
no_id	Compared to other markets, the Czech market is very specific.	Český trh je oproti jiným trhům velmi specifický.	V porovnání s jinými trhy, český trh je velmi zvláštní.	Je srovnáno s jinými trhy, český trh je velmi specifický.
no_id	No subject has approached us thus far with a complex and serious project in this area," claimed Vlastimil Sršeň from the public relations department of Telefonica 02 in a statement for Mobil.cz.	Doposud nás neoslovil žádný subjekt s komplexním a seriózním projektem v této oblasti," uvedl ve svém vyjádření pro Mobil.cz Vlastimil Sršeň z tiskového odboru Telefóniky O2.	Žádný předmět se k nám doposud s složitá a seriózní projekt v této oblasti, "tvrdí Vlastimil sršeň z oddělení pro styk s veřejností, Telefonica 02 v prohlášení pro mobil. cz.	Žádný předmět se nepřiblížil k nám tak dosud se složitým a vážným projektem v této oblasti," tvrdila Vlastimil sršeň z veřejného oddělení vztahů Telefonica 02 v prohlášení pro Mobil.cz.
no_id	Other operators also refer to the specific nature of the Czech market.	Na specifičnost českého trhu se odvolávají i další operátoři.	Ostatní operátoři také odkazují na specifika českého trhu.	Jiné subjekty rovněž odkazovat na zvláštní charakter českého trhu.
